Beer,Keg Size,Total Oz,Wholesale Cost,Waste %,Servable Oz,Cost/16oz,Cost/22oz,Retail 16oz,Retail 22oz,Profit 16oz,Margin 16oz,Profit 22oz,Margin 22oz,16oz Sold,22oz Sold,Oz Served,Oz Drawn,Oz Remaining,% Remaining,Fill (tenths),Profit to Date,Status
Coors Light,1/2 Barrel,1984,144,0.1,1785.6000000000001,1.2903225806451613,1.7741935483870965,3.5,5.5,2.209677419354839,0.63133640552995396,3.7258064516129035,0.67741935483870974,4,64,1472,1635.5555555555554,348.44444444444457,0.17562724014336925,0.2,247.29032258064518,On Tap
Modelo,1/4 Barrel,992,97,0.1,892.80000000000007,1.7383512544802866,2.3902329749103939,4.5,6.5,2.7616487455197136,0.61369972122660299,4.1097670250896066,0.63227185001378561,0,0,0,0,992,1,1,0,On Tap
Blue Moon,1/6 Barrel,660.5,82,0.1,594.45000000000005,2.2070821768020856,3.0347379931028677,6,8,3.7929178231979144,0.63215297053298569,4.9652620068971327,0.62065775086214159,0,0,0,0,660.5,1,1,0,On Tap
Piehole Porter,1/6 Barrel,660.5,92,0.1,594.45000000000005,2.4762385398267304,3.4048279922617541,6,8,3.5237614601732696,0.58729357669554494,4.5951720077382454,0.57439650096728068,0,0,0,0,660.5,1,1,0,On Tap
Toasty,1/6 Barrel,660.5,90,0.1,594.45000000000005,2.4224072672218013,3.3308099924299768,6,8,3.5775927327781987,0.59626545546303311,4.6691900075700232,0.5836487509462529,0,0,0,0,660.5,1,1,0,On Tap
Prickly Pear,1/6 Barrel,660.5,96,0.1,594.45000000000005,2.5839010850365884,3.5528639919253089,6,8,3.4160989149634116,0.56934981916056859,4.4471360080746916,0.55589200100933644,0,0,0,0,660.5,1,1,0,On Tap
Hop Knot,1/6 Barrel,660.5,94,0.1,594.45000000000005,2.5300698124316594,3.4788459920935315,5.5,7.5,2.9699301875683406,0.53998730683060736,4.0211540079064685,0.53615386772086249,0,0,0,0,660.5,1,1,0,On Tap
WOW Wheat,1/6 Barrel,660.5,72,0.1,594.45000000000005,1.9379258137774411,2.6646479939439818,5.25,7.25,3.3120741862225591,0.63087127356620176,4.5853520060560182,0.63246234566289905,0,0,0,0,660.5,1,1,0,On Tap
Tower Station,1/6 Barrel,660.5,84,0.1,594.45000000000005,2.2609134494070147,3.1087559929346451,4.5,6.5,2.2390865505929853,0.49757478902066343,3.3912440070653549,0.52172984724082383,0,0,0,0,660.5,1,1,0,On Tap
